airport_name,airport_abbr,delay_sum,total_number_flights,perc_delay,avg_perc_delay,lat,lng
Burbank Bob Hope Airport,BUR,6297.949999999999,32488.0,0.1938546540261019,0.20823556298332133,34.1983122,-118.3574036
Burlington International Airport,BTV,2464.040000000001,10573.0,0.2330502222642581,0.20823556298332133,44.4706939,-73.1516037
Bush Intercontinental Airport,IAH,43761.98,192696.0,0.22710372815211527,0.20823556298332133,29.9902199,-95.3367827
"CONCORD, NC: Concord Padgett Regional",USA,273.02,1321.0,0.20667676003028007,0.20823556298332133,35.3804727,-80.7139661
Canyonlands Field,CNY,150.99,703.0,0.21477951635846373,0.20823556298332133,38.7572626,-109.7521734
Cape Girardeau Regional Airport,CGI,269.98,944.0,0.28599576271186444,0.20823556298332133,37.226842,-89.5645181
Cedar City Regional Airport,CDC,93.00000000000001,813.0,0.11439114391143913,0.20823556298332133,37.6960908,-113.0972155
Cedar Rapids Eastern Iowa Airport,CID,2210.97,10139.0,0.2180658842094881,0.20823556298332133,41.8863861,-91.70697539999999
Central Illinois Regional Airport,BMI,789.0,3360.0,0.23482142857142857,0.20823556298332133,40.4801853,-88.9189342
Central Nebraska Regional Airport,GRI,249.0,1214.0,0.20510708401976935,0.20823556298332133,40.9694381,-98.3129098
Central Wisconsin Airport,CWA,519.97,2813.0,0.1848453608247423,0.20823556298332133,44.784201,-89.67268
Champaign Willard Airport,CMI,811.97,2933.0,0.27683941356972386,0.20823556298332133,40.03649619999999,-88.26398789999999
Charleston International Airport,CHS,5705.949999999999,27103.0,0.21052835479467213,0.20823556298332133,32.8942676,-80.038159
Charleston Yeager Airport,CRW,1166.0,4833.0,0.24125801779433065,0.20823556298332133,38.3714489,-81.5934922
Charlotte County Airport,PGD,1219.03,5519.0,0.2208787823881138,0.20823556298332133,26.9135138,-81.9998066
Charlotte/Douglas International Airport,CLT,46262.06000000001,253116.0,0.18277019232288758,0.20823556298332133,35.2144026,-80.9473146
Charlottesville-Albemarle Airport,CHO,1490.03,6185.0,0.24091026677445432,0.20823556298332133,38.1394877,-78.4516149
Chattanooga Metropolitan Airport,CHA,2001.05,9541.0,0.20973168430982078,0.20823556298332133,35.0374486,-85.19701119999999
