Code,Name,City,State
EEK,Eek Airport,Eek,AK
ELI,Elim Airport,Elim,AK
ENA,Kenai Municipal Airport,Kenai,AK
ENM,Emmonak Airport,Emmonak,AK
EWU,Newtok Airport,Newtok,AK
FAI,Fairbanks International Airport,Fairbanks,AK
FYU,Fort Yukon Airport,Fort Yukon,AK
GAL,Edward G. Pitka Sr Airport,Galena,AK
GAM,Gambell Airport,Gambell,AK
GBH,Galbraith Lake Airport,Galbraith Lake,AK
GGV,Kwigillingok Airport,Kwigillingok,AK
GKN,Gulkana Airport,Gulkana,AK
GST,Gustavus Airport,Gustavus,AK
HLA,Huslia Airport,Huslia,AK
HNH,Hoonah Airport,Hoonah,AK
HNS,Haines Airport,Haines,AK
HOM,Homer Airport,Homer,AK
HPB,Hooper Bay Airport,Hooper Bay,AK
HSL,Huslia Airport,Huslia,AK
HYL,Hollis Seaplane Base,Hollis,AK
IAN,Bob Baker Memorial Airport,Kiana,AK
IIK,Kipnuk Airport,Kipnuk,AK
ILI,Iliamna Airport,Iliamna,AK
JNU,Juneau International Airport,Juneau,AK
KAE,Kake Airport,Kake,AK
KAL,Kaltag Airport,Kaltag,AK
KDK,Kodiak Municipal Airport,Kodiak,AK
KEB,English Bay Airport,English Bay,AK
KKA,Koyuk Airport,Koyuk,AK
KLG,Kalskag Airport,Kalskag,AK
KSM,St Mary's Airport,St Mary's,AK
KTB,Thorne Bay Airport,Thorne Bay,AK
