year, month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct, weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted, arr_delay, carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2019,9,DL,Delta Air Lines Inc.,LAX,"Los Angeles, CA: Los Angeles International",2869,385,116.49,3.44,164.19,0,100.88,3,3,23046,11247,167,5409,0,6223
2019,9,DL,Delta Air Lines Inc.,LEX,"Lexington, KY: Blue Grass",86,11,3.24,1,6.19,0,0.57,0,0,488,191,101,179,0,17
2019,9,DL,Delta Air Lines Inc.,LFT,"Lafayette, LA: Lafayette Regional Paul Fournet Field",30,2,0,0.67,1.33,0,0,0,0,54,0,24,30,0,0
2019,9,DL,Delta Air Lines Inc.,LGA,"New York, NY: LaGuardia",2325,492,66.16,9.12,313.53,0,103.19,29,12,27214,5436,1994,12755,0,7029
2019,9,DL,Delta Air Lines Inc.,LIH,"Lihue, HI: Lihue Airport",34,3,1.96,0,0.04,0,1,0,0,555,378,0,9,0,168
2019,9,DL,Delta Air Lines Inc.,LIT,"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field",190,16,8.99,0,4.07,0,2.94,0,0,1012,526,0,197,0,289
2019,9,DL,Delta Air Lines Inc.,MCI,"Kansas City, MO: Kansas City International",601,53,26.68,2.38,13.55,0,10.39,0,1,4448,3171,146,394,0,737
2019,9,DL,Delta Air Lines Inc.,MCO,"Orlando, FL: Orlando International",1344,93,41.18,1.55,29.53,0,20.74,56,0,3968,1942,69,998,0,959
2019,9,DL,Delta Air Lines Inc.,MDT,"Harrisburg, PA: Harrisburg International",85,5,3,1,0.68,0,0.32,0,0,758,133,578,32,0,15
2019,9,DL,Delta Air Lines Inc.,MDW,"Chicago, IL: Chicago Midway International",194,24,10.04,0.61,11.24,0,2.11,0,0,1596,643,23,886,0,44
2019,9,DL,Delta Air Lines Inc.,MEM,"Memphis, TN: Memphis International",404,44,19.49,1.04,9.47,0,14,0,0,2485,851,96,418,0,1120
2019,9,DL,Delta Air Lines Inc.,MHT,"Manchester, NH: Manchester-Boston Regional",28,5,0.98,0,2.89,0,1.13,0,0,217,75,0,109,0,33
2019,9,DL,Delta Air Lines Inc.,MIA,"Miami, FL: Miami International",632,74,27.3,1.1,28.83,0,16.76,0,1,4135,1993,50,940,0,1152
2019,9,DL,Delta Air Lines Inc.,MKE,"Milwaukee, WI: General Mitchell International",497,42,21.13,1.99,10.54,0.6,7.74,0,1,2239,1139,132,390,44,534
2019,9,DL,Delta Air Lines Inc.,MLB,"Melbourne, FL: Melbourne International",108,8,3.03,1,1.02,0,2.95,9,0,316,71,29,19,0,197
2019,9,DL,Delta Air Lines Inc.,MOB,"Mobile, AL: Mobile Regional",30,4,2.27,0,0,0,1.73,0,0,473,133,0,0,0,340
2019,9,DL,Delta Air Lines Inc.,MSN,"Madison, WI: Dane County Regional-Truax Field",191,18,7.09,1.43,4.09,0,5.39,0,1,869,365,58,237,0,209
2019,9,DL,Delta Air Lines Inc.,MSO,"Missoula, MT: Missoula International",61,12,3.96,0,3.58,0,4.46,0,0,570,274,0,84,0,212
